repo,sha
INRIA/spoon,04ad79ab8f80185bacd738d45b13b6fb8cd008b1
graalvm/sulong,27475af6db2c7de111c1f3e3bd9d4c4b21740f69
AzureAD/azure-activedirectory-library-for-android,5491662c195415da20531a8ed6a00814585334d7
CoLRev-Environment/colrev,60f69c4276ce9bc643b6844aac5201d8216a2324
52North/arctic-sea,926b47d9837eace6ab89f85e5c5e16d989fda945
Deltares/dfm_tools,912e7c2672f4a46d47996ae62a3e5bd147333e50
target/strelka,ffaa60dd5c8579553f28d61f680cf8318feaa416
osmdroid/osmdroid,027875216f1b1cd586a2e5b5a188a725e5c11678
NVIDIA/MinkowskiEngine,8250e5a785a8eea3e2e10c958cb2faeda41e6898
castorini/anserini,ff011f828796fc3a1dfadf76c274af93a59c87db
siegfried415/portia-dashboard,d14a43e6e9f25373815ee37465135eea2d410a4d
neurostuff/NiMARE,b6c25a0b90509d5c1cbde0b550287b7860cafe9e
softmatterlab/DeepTrack2,05ea33f33bce98ce0f4e0f1d2022c5f9dcd578ea
Colin-b/pyxelrest,6a479f4734aa6e9d99e9e8b3c45aee786c1f6d96
NVIDIA/MinkowskiEngine,0a8a4ed6b6c6e3e6517b234d1e287c51b0b37cfc
DaveJarvis/KeenWrite,c6daa64e77544947aee7bdda80c92e152e32aa5f
ilius/pyglossary,895230c9ee5b37c81fdc92f1aaec778f4e4f6a15
softmatterlab/DeepTrack2,215f6106a7b1f117bd3bb9c54ccc160b5b4f3b77
lets-blade/blade,273eb5c77b9a3428b92cf7e6413df92e3698d05d
milvus-io/pymilvus,05b5d9b66e6465b7cd9d3d517bc1c1839f19afbe
open-telemetry/opentelemetry-java,f563f4494dfd3366d37b205ec166d1ef09f285c4
ut-parla/Parla.py,ed056c29bc18159a008208f3c5456f7a742acdc8
crownpku/Rasa_NLU_Chi,9aab3fe29d61e52bcae15eba381d7a146ce7dbc1
rizac/stream2segment,dcc458a750c539c54a156d733918de61f110df2e
augmentedstartups/AS-One,ae25a885c27f6f721641652c9f557ed7486c460f
chen3feng/blade-build,4244c12b996726038935b37d783ce9947ff4bd14
crownpku/Rasa_NLU_Chi,36c0544e3ae2665fa21e5101a36576cddd6e68f1
sedmelluq/lavaplayer,a63714145a2c447b046284b0c0f5c7a0a104e34d
HDI-Project/ATM,a8f874dd8835240b1923174a22837ba28d1fa7f7
MoreUnit/MoreUnit-Eclipse,2dafeae1e7aee38acc6f62e07302fc3ba60d8a77
Backbase/bb-fuel,bdcb345650e7c8c1d2bcc37a9239543a6245e6b5
GatorEducator/gatorgrader,0431fd341bc55210b6431a317ebbf9e701bcef8f
Deltares/dfm_tools,c75e67836f957f2661e6e6620131ce802110665d
clulab/processors,9e6942087d0686a1b0eb3bfbd3537b419cd397a0
softmatterlab/DeepTrack2,8308d64057621504b2090c5961f002cd7a2c0fca
kellyjonbrazil/jc,b3896650c230b4acc73704a50c93ee74e4034eef
chen3feng/blade-build,d96796055964a8b4935879a9be3a18f75fde26f4
rpoleski/MulensModel,a6bb8cfc7922ff726b0269edd55a7ce463f38e05
mhostetter/galois,aee74b70b78565d3db1994d1f5bd4d4c6f53e080
opensearch-project/opensearch-hadoop,a9931dc86a6692697954cc2c0a5b45f982fe764b
joshgontijo/rest-client,8e0bd0228e7a9dab4255d99b9c48e1b6b865fffc
Deltares/dfm_tools,c5029373390662d2a74ef90337400a8e181cde78
Deltares/dfm_tools,06144a5a2295c753eb44cf017b8423324784ac7c
mraniki/tt,907705873708227d568a72d5e3b200713c6b14d4
52North/arctic-sea,3e1fda82768a8e63bd298d9a8654819d5eab2a1c
milvus-io/pymilvus,f0ec68659b062c97ead7baaaae29334a07cae80e
JakeWharton/butterknife,88689a73d0ea6d8ab44e87ef215cdf3ad1e81117
decentralized-identity/universal-resolver,f3c85e5b76d267cbcbdd61987082bee3a11e4c67
52North/arctic-sea,c20156eec81844cae243a3f92ba3de0ea0857d66
decentralized-identity/universal-resolver,7f71041b7f9f44a59e4afcc19752694acd360694
ut-parla/Parla.py,1937b48ba42e24dc228508ba534dfa169164880e
NVIDIA/MinkowskiEngine,b8a65a4528b39c6297bf25f39af928d1da594a2f
HDI-Project/ATM,2f0a69c90a8bf88c7a60b2ca06f7590f4192c3f4
clulab/processors,8cb592cd5c8f6b2019203455ede93bb6e96b91bf
bup/bup,96a717d1968766efa7f399cec3277c1947272de4
rescuezilla/rescuezilla,17d381452caf3420a234028ea914b08c7f472b75
Colin-b/pyxelrest,329fa3c3c1ec11ad44340de776602360db80832e
hmakelin/gisnav,71fc0ba460b857d0708aa2af7715f6e948e1e49b
kellyjonbrazil/jc,2689697b4c21758903e5f74ec069e89be585aba2
Deltares/dfm_tools,976eacc2463b23bcb517e58f0051b8e37520f7e3
rm3l/maoni,44addb173a03e6c0fced7fadb46f6c455816b5d8
swagger-api/swagger-core,79dcc0dff32e891939461e94eb2b57203d3077f3
Colin-b/pyxelrest,dea4cb221a18d07759ab2a44f3aa384f1aaf672e
kellyjonbrazil/jc,a896dcdf3b31b60582ebb1b3bca5d1103f998dd6
ut-parla/Parla.py,09901de97f2b0b62d4d0b90b444231df671a217d
NVIDIA/MinkowskiEngine,5f2889e61ed8bb374f7bd1a0b78c8b2e05f26aaf
lets-blade/blade,7ff8d31f1f0cbc0bc52fa6da78e1ad606770ccb9
52North/arctic-sea,e2d6469f4e682c0a9e0dab0e7c8f1c331b302f94
joshgontijo/rest-client,d7c97d396f8aa584f3222c700cedbcad79649ff1
swagger-api/swagger-core,eb5729a2f409f71c16bb0cee6d79c0a5f655acc7
servicecatalog/oscm,52fd0085b53fcdc78aa78c9657c605ad1c653ff6
softmatterlab/DeepTrack2,bdaa079a7ef500a7b8feeba627d3859a2332d5c0
NVIDIA/MinkowskiEngine,d44df12c177cd9b25bdaebd2c809a7a72926df28
sedmelluq/lavaplayer,63ebcf904702e02c4c728a03f5f89ca4009d9ad9
rescuezilla/rescuezilla,9d3d8f976a915ea7c3f22039ab16db6f07cc3771
open-telemetry/opentelemetry-java,575579f286ce47f69dd547f1bc596e281f40e0b9
Backbase/bb-fuel,cc1eb5a87e25d56ab8b5e9fd7eb41420fb877ff8
ut-parla/Parla.py,77824317594ae0c825bf340bba66780aa4915311
ilius/pyglossary,d44fa175eed287473f4c4f3868823cc4c02bd779
dgageot/simplelenium,5f9bf6a00f4dd8d232b05ba49d253d1798c6f4bb
eclipse-m2e/m2e-core,3520713c939e8b5f0c278cb0b9d7a2388823a082
huaweicloud/spring-cloud-huawei,cf60edb1e4aefa88c4c5685ef3d7357f28de6213
castorini/anserini,dc0b7ff8d41c992e37c8ee4b403b1b1dcaa87806
Lingotek/filesystem-connector,c88fb66c0847ca3cb66d3d59f0e3460fa72a753d
h6ah4i/android-advancedrecyclerview,95c16e04fd3fa8d899ab26faa712af6a38fcab35
bup/bup,fc87ec3d1421032825ab509f56b0b24f58ae1ac5
graalvm/sulong,8923104a6f575f07dc370dfee502d6ba92afc4b3
