repo,sha
kcjengr/qtpyvcp,0f99161a0cee5b2ead0bdb1e2b2b2175e2a1d65b
DocNow/twarc,e7268d51ad948f4d04c5f1fbc9f59fe08802b210
UKPLab/sentence-transformers,2b4ad3c47e5d82c5f0faec85790372217f0ea58c
SilenceIM/Silence,08c2c9f3a3740e4692157c110549c65beb50ed28
NannyML/nannyml,12f3a5bd2b8a50d8e15c66b825831d093cba95b6
RMLio/rmlmapper-java,98a70ef1e171f10745278beefdcba8878e7a0297
itsallcode/white-rabbit,7d56f979d2afefec063d99a0bf7933e96d8ca39e
rhblind/drf-haystack,738109fd20c13e9ec012d2a7ec7ae3569abed9bb
HeIIow2/music-downloader,4a042e40f0885df829486db7dcedfc0b1749cea8
jscant/PointVS,c40fbfd39cb3276f4d73e25ec41e8d48cfeccee9
NeoApplications/Neo-Launcher,06cade747ece3871dacb4bebdc602db4d9d4c0f4
JaidenAshmore/java-dynamic-sqs-listener,d39b0d19157c84045da7c33cb50f1c838a943574
uds-se/FormatFuzzer,51f157e073bb4f06fdb80e5a98ac7e12c192ee20
RADAR-base/RADAR-Backend,1eee877600289f8a69d5d4c68cfc207dfe8ec4fe
stanleybak/hylaa,e5a659714bf7cb6816dedf69fd24709263315436
darkwizard242/cis_ubuntu_2004,f91cc8c17a17d85cafa4e2aceaca2e2094b2b2bd
AnonymouX47/term-image,59736c17ee898121143b738290d0cfae60e792bc
napari/napari,4e16e612406030f199a5c8fe40ea831f01f1202c
yingshaoxo/auto_everything,5c9a5954afa37f2edca294d6663180f3cde7f715
JohnHammond/katana,97b19af19e02b46cb32e237b426578691158a2cf
SundeepK/CompactCalendarView,756e7f3a5206464287d5f3e390ed918ca322ed54
wiremock/wiremock,13c5bf6e692caa99fca6560f09e715eb71910867
rsmusllp/king-phisher,1bbc1bf122a18085b1ea4af20c9af10cc4cf899e
jenkinsci/jacoco-plugin,ee5575698071af4bfba4d5fda9eabd022fa58ac5
exoshuffle/raysort,a270953e22f4a719ac4f9e4c16a7d632a58db1a8
uds-se/FormatFuzzer,aaabf442cb90a34a062efbefaed374c8571d6005
igordejanovic/textX,a30992560867aeef6cd3b53095dc27237198fa18
luxonis/depthai,d53c1e21cb1387432b15a0fb7ebc1ca1774feedf
braintree/braintree_python,135e39096de2020f238525ac7a9970e8ac60db19
SciGraph/SciGraph,4d9126645f14b1598eb5d2762737b45cd137aca1
