repo,sha
iredmail/iRedAPD,bd8d7f8ccac330381b3df063a8f5e52518f3d52d
eivindveg/HotSUploader,886488d909dd5f44550bf19c91fc761c4df9a37a
killbill/killbill-client-java,74aa69ec74c5cd1674d0973e631b463cf5ba953a
mandiant/capa,e14af6a30ae190cbf8e995b30f7aaa70411f6f98
nextstrain/cli,5e8773d380c92ab99a4a4c65201e4596d9258641
urschrei/pyzotero,3a3030e1e30e0df16df6a2186f96ac9f4a718a81
flexxui/flexx,536b222f4a8a61440419b5d6f39e9433a5213484
Vyvy-vi/TearDrops,16c897deafb5df245c3e8583ccac27ca2cb0fb37
smc/Indic-Keyboard,8221d1769a10fe3738d7860609ba0bd2e877efa7
selcukes/selcukes-java,a8391ee1854f62d3c350179d965e219c2273ced3
VueGWT/vue-gwt,161668d10ca955398394072efeea8b0115d98851
Kubeinit/kubeinit,5f189c3fcbc7f79b3c5a1f1b505d98af90942dc1
eradiate/eradiate,dce89b5f740f11bd37b398d03cc9067a71fca638
kantek/kantek,fbea50bf138583ca7a6b9318ff028d6bb81018a0
gomint/gomint,160e4122cd8fc25a7a03798d8f312894ae0301df
dbolya/yolact,e192780315e9b6ebcbf11fd5498205130711b10a
yadage/yadage,b3ecaeb38ba4e4cd6e14e08011e3d0c14b4aaaea
deepmind/pysc2,21c44008d379269e0caa7479f7ebab82d553ea04
i2p/i2p.i2p-bote,d7157423ae04a0b70708a52d1cf5d3b287d0a7d7
brianmanderson/Dicom_RT_and_Images_to_Mask,c9c410f265e2a62cda4ea2ee68bb7032176adafa
trakt/Plex-Trakt-Scrobbler,5638c60bfccfee87dd65ae95d592c3ea8951d56a
VDIGPKU/CBNetV2,8753583e4fa50277bde4ba0f666f337a1387b864
llazzaro/django-scheduler,bae80e24e57a4f2ffb4c11bc62e026ed7b861287
VDIGPKU/CBNetV2,24e84170ee73caa15daff935d16cdcbd22ff3da8
apple/swift-source-compat-suite,6f6598fa6656203e4a43aaf2f69333371a63fce7
Ravaelles/Atlantis,89fe47619edf026500c1db491679bd4fd3b8d7f7
qctrl/python-open-controls,8d0b300605bf6ffa35659dce2450b23d9df051d6
Niestrat99/AT-Rewritten,9a170e4cc8677a7d0fadb3f9fda70c6481411a39
SPINLab/geometry-learning,c679bef62b5cdfd08a3dd937490b9779a2be7f0e
ishwi/Chuu,cf6717464b7911cf8ef557e51794bbe8eb6cb53e
Chameleon-Vision/chameleon-vision,b88964d31e51a2fef12a8b091c6f056ac0f150ea
aaberg/sql2o,6777d3d5d3aee4fb6947b1d566e1f409718e6d6e
billchen198318/bamboobsc,b82ec879aa05e0442f19655e1f775d6c4e70efa7
viur-framework/viur-vi,2de7e35dd21e1099925d9c17d3b294ca0e73b65c
internetarchive/fatcat,a65dfc914517376b5ededb82e594236c5d61c721
neo4j/cypher-shell,4d09507f2a270e1741c15d150b1f79ef79d70878
ChrisRBe/PP-P2P-Parser,362acdca3d5a43ca8babd509ff300ada71947f95
jordanruthe/KlipperScreen,9bf714c7bbaad649d774ec0e479be1c1d5577239
ctuning/ck-autotuning,42545cf38883680907c3e6366f41964094ab14c6
ctuning/ck-env,b73e8983a6a0cf94539e47250e62e45c5376d1a6
elastic/apm-agent-java,db644c5526b21a10eddfb169449c9efb1259a80d
yadage/yadage,e8e2de75c85765460c23125f11baeeee55acfc44
catenax-ng/product-edc,c1b8affe8348ccaebb04d3ee080770341cb593e7
billchen198318/bamboobsc,3c8fa7e5e2d7c756d8ce6606f9de6c9f21df332e
kantek/kantek,d1bb68ffcccd24a0aa8f55b0a79a820e615560a8
ocelot-collab/ocelot,9faccf2664309a345e517a5bb8744db7877b259f
SPINLab/geometry-learning,6691d0c7aa80aba568c6ec76231d008e62580e8f
VDIGPKU/CBNetV2,0ba73cf45e817652b749f5bb6efa3b98e9dc55f9
alorence/django-modern-rpc,2cfeaad47dd5fdc24d27965e6312d28dc4e81034
zeromq/jeromq,ec56572a711348cdefbdcceac97ba05c3e42aaca
apple/swift-source-compat-suite,aacf06e88831b86ae1f5b7403effa0a934d4f988
gomint/gomint,f04f2e1143fa799bab6c791f2d5b806432376a63
aaberg/sql2o,ef3b366f0ac5cf15931cd8ece3baef790534f685
poljar/matrix-nio,a6db7e336279d06e23f0c978eece498c55c4b5ff
runelite/plugin-hub,96db07ae08d2961f150fdfffdc13db5ede07e293
VueGWT/vue-gwt,70a7130cc41efe0165043a47756a425fb2ba5f42
eclipse-esmf/esmf-sdk,fda950a32b129600987d383fb6dff57734456bbf
internetarchive/fatcat,95bcef522ba3cdb32fc60078caec38855506c814
catenax-ng/product-edc,492e834c4119d7fdd015d0b5c0430b4e636320bd
openmaraude/APITaxi,38a18002b514d7c43ee230f36c6b7f705300f44e
flexxui/flexx,8fbdb118d20d982bcf452b7a2bbbdc78fb286f24
Niestrat99/AT-Rewritten,098f789bbe7a9f7c5dbfe8b57411b7bdcc3fceae
apache/openmeetings,e667c1283489b18cbdb0466807f2c8f6382c89b7
ctuning/ck-env,aea65dfb889ad848d49cd85258f0519320d7f30e
themattinthehatt/behavenet,a49ea8cfa3211088950a840e36818419eec27170
